;DT;DP;N;CP;CT;NA
1. Eu gosto do meu trabalho;;;;X;;
2. Eu me sentiria seguro(a) se fosse tratado (a) aqui como paciente.;;;;;X;
3. Os erros médicos* são tradados de modo apropriado neste hospital.;;;X;;;
4. Toda informação necessária está disponível, antes do início de um procedimento.;;;X;;;
5. A administração deste hospital está fazendo um bom trabalho.;;;;X;;
6. A administração deste hospital apoia meus esforços diários.;;;;X;;
7. Eu recebo retorno apropriado sobre o meu desempenho.;;;;X;;
8. Na Sala de Cirurgia é difícil discutir os erros.;;;;X;;
9. A transmissão de informações entre os profissionais do Centro Cirúrgico antes da realização de um procedimento cirúrgico é importante para a segurança do paciente.;;;;;X;
10. A transmissão de informações é comum no Centro Cirúrgico.;;X;;;;
11. Este hospital é um bom lugar para se trabalhar.;;;;;X;
12. O cansaço prejudica meu desempenho durante situações de emergência.;X;;;;;
13. A administração do hospital não compromete, conscientemente, a segurança dos pacientes.;;;X;;;
14. Neste Centro Cirúrgico o número de profissionais é suficiente para atender o número de pacientes.;;;X;;;
16. Sou encorajado (a) por meus colegas a informar qualquer preocupação que eu possa ter com a segurança do paciente.;;;X;;;
15. A tomada de decisão no Centro Cirúrgico utiliza informações dos profissionais envolvidos.;;;;X;;
17. A cultura de segurança neste Centro Cirúrgico torna fácil aprender com os erros dos outros.;;;;X;;
18. O hospital lida de maneira construtiva com os profissionais problemáticos.;;;;;X;
19. Os equipamentos deste Centro Cirúrgico são adequados.;;;X;;;
20. Neste Centro Cirúrgico é difícil manifestar-me abertamente se eu percebo um problema envolvendo o cuidado do paciente.;;;;X;;
21. Quando a minha carga de trabalho se torna excessiva, meu desempenho é prejudicado.;;;;X;;
22. Recebo informações adequadas e oportunas sobre ocorrências no hospital, que podem afetar o meu trabalho.;;X;;;;
23. Eu conheço os meios adequados para encaminhar questões relacionadas à segurança do paciente neste Centro Cirúrgico;;;X;;;
24. Sou menos eficiente no trabalho quando estou cansado (a).;;;X;;;
25. Eu tenho maior probabilidade de cometer erros em situações tensas ou hostis.;;;;X;;
26. É fácil para os profissionais que atuam neste Centro Cirúrgico fazerem perguntas quando existe algo que não entendem.;;;X;;;
27. Profissionais conseguem deixar os problemas pessoais para trás, quando estão trabalhando.;;;;;X;
28. O moral neste Centro Cirúrgico é alto.;;;;;;X
29. A equipe médica deste Centro Cirúrgico faz um bom trabalho.;;;X;;;
30. Todo o pessoal do Centro Cirúrgico assume responsabilidade pela segurança do paciente.;;;;X;;
31. Sinto-me cansado (a) quando levanto pela manhã e tenho que enfrentar outro dia de trabalho.;;;;X;;
32. A segurança do paciente é, constantemente, reforçada como prioridade aqui no Centro Cirúrgico.;;X;;;;
33. Eu me sinto exausto (a) com o meu trabalho.;;;;X;;
34. Assuntos importantes são bem comunicados nas mudanças de turno.;;;;X;;
35. Aqui existe adesão ampla às diretrizes clínicas e critérios baseados em evidências relacionados com segurança do paciente.;;;;X;;
36. Sinto me frustrado(a) com o meu trabalho.;;;X;;;
37. Sinto que estou trabalhando demais.;;;;;X;
38. As informações obtidas por meio dos relatórios de eventos adversos são usadas para tornar a assistência do paciente mais segura neste Centro Cirúrgico.;;;;X;;
39. O cirurgião ou o cirurgião assistente deveria estar formalmente na coordenação da equipe da Sala Cirúrgica, durante o procedimento cirúrgico.;;;;X;;
40. Falhas na comunicação que levam a atrasos para iniciar os procedimentos cirúrgicos são comuns.;;;;;X;
41. Você respondeu a essa pesquisa antes? ( ) Sim ( ) Não ( ) Não Sei;;;;;;
;;;;;;
Cargo;;;;;;
Cirurgião/Cirurgião Assistente;;;;;;
Residente de Cirurgia ou Interno;;;;;;
Instrumentador ou Circulante de Sala;;;;;;
Perfusionista;;;;;;
Anestesiologista/Anestesiologista Assistente;;;;;;
Residente de Anestesia ou Interno;;;;;;
Enfermeiro Anestesista;X;;;;;
Auxiliar do Anestesiologista;;;;;;
Enfermeiro de Crntro Cirurgico;;;;;;
Enfermeiro de unidade de RPA;;;;;;
Enfermeiro Assistencial;;;;;;
Enfermeiro Chefe;;;;;;
Equipe de Avaliação pré operatória/pré anestesica;;;;;;
equipe de apoio;;;;;;
outros;;;;;;
;;;;;;
Tempo de Experiencia;;;;;;
;;;;;;
Regime de trabalho;;;;;;
periodo Integral;X;;;;;
Periodo Parcial;;;;;;
Cooperado;;;;;;
Contratado;;;;;;
Outros;;;;;;
;;;;;;
Grupo étnico;;;;;;
Negro;;;;;;
Indigena;;;;;;
Amarelo;;;;;;
Branco;X;;;;;
Preto;;;;;;
Pardo;;;;;;
Afrodescendente;;;;;;
;;;;;;
Há quanto tempo trabalha neste hospital;2;;;;;
;;;;;;
Idade;44;;;;;
;;;;;;
Turno Habitual;;;;;;
Periodo Integral;;;;;;
Periodo Parcial;;;;;;
Noturno;;;;;;
Turnos Variaveis;X;;;;;
;;;;;;
Sexo;;;;;;
FEM;;;;;;
MAS;;;;;;
